Location,Address,City,STATE,Zip,Manufacturer,Year Built
Wellington Laundry & Cleaners,11360 - E2 Fortune Circle,Wellington,FL,33414,Fulton,1900
Phillips Cleaners,319 W 13Th St/Blr Rm,Sanford,FL,32771,N/A,1900
Burnett Middle School,1010 Kings Way Rd N/Burnett Ms,Seffner,FL,33584,Raypak,1900
Mariner Health Of Deland/Kitchen,1200 N Stone St,Deland,FL,32720,Vulcan Hart,1910
Pier Hotel,253 2Nd Ave North,St Petersburg,FL,33701,Us Radiator,1921
Miami Senior High School,2450 Sw 1St Street/W Blrm/Miami Sr Hs,Miami,FL,33135,American Radiator,1928
Miami Senior High School,2450 Sw 1St Street/W Blrm/Miami Sr Hs,Miami,FL,33135,American Radiator,1928
Miami Senior High School,2450 Sw 1St Street/E Blrm/Miami Hs,Miami,FL,33135,American Radiator,1928
Peace Memorial Presbyterian Church,110 S Ft Harrison Ave/Basement,Clearwater,FL,33756,U.S. Radiator,1930
Community Methodist Church,616 Harvey Ave/Blr Rm/Engin.,Daytona Beach,FL,32118,Butler&Pierce(Du9'01#12),1935
County Administration,12 Se 1St Ave/Blrm South,Gainesville,FL,32601,Sellers,1936
Franklin Cty Courthouse,33 Market St/Bsmt/Courthouse,Apalachicola,FL,32320,Kewanee,1938
Shirley Ann Hotel,936 First Avenue North,St. Petersburg,FL,33705,Fitzgibbons,1940
Mecca Apartments,916 1St Street North/Basement,St Petersburg,FL,33701,Fitzgibbons,1940
Mendenhall Elementary,5202 Mendenhall/Blr Rm,Tampa,FL,33603,H B Smith,1941
Cross City Corrections/Dorm C,Airport Rd/Blr Rm,Cross City,FL,32628,"Pacific Steam Equipment, Inc.",1943
Cross City Correctional Institute,Veterans Rd,Cross City,FL,32628,"Pacific Steam Equipment, Inc.",1943
Wesconnett Elementary,5710 Wesconnett Blvd/Blrm/#57,Jacksonville,FL,32244,Kewanee,1944
Federal Building,401 Se 1St Ave,Gainesville,FL,32601,Pressed Steel,1944
Immaculate Conception Parish,121 E Duval/Blr Rm,Jacksonville,FL,32202,American Radiator,1945
Lealman Discovery Middle School,4100 35Th St N/Blr Rm,St Petersburg,FL,33714,Kewanee,1946
Poinciana Apartments/Basement,264 15Th Avenue Ne,St. Petersburg,FL,33704,American Radiator,1947
Lomax Elementary,4207 26Th St/Blr Rm,Tampa,FL,33610,Weil Mclain,1947
St. Luke'S Mcl/Blr Rm,1140 S Mcduff Ave,Jacksonville,FL,32205,National,1947
Bethune-Cookman College,165 Lincoln Street/Gym,Daytona Beach,FL,32114,Erie City,1947
Mark'S Quality Cleaners,1201 20Th St Cv"",Miami Beach,FL,33139,Ames Iron Works,1948
Mark'S Quality Cleaners,1201 20Th Street,Miami Beach,FL,33139,Ames Iron Works,1948
Randolph Hotel,200 4Th Street North/Blr Rm,St Petersburg,FL,33701,Fitzgibbons,1948
Sylvania Heights Elementary,5901 Sw 16  St/Sylvania Hghts Es,Miami,FL,33155,Kewanee,1948
Sylvania Heights Elementary,5901 Sw 16  St/Sylvania Heights Es,Miami,FL,33155,Us Radiator Corp,1948
Merrick Elementary,39 Zamora Ave/Blr Rm,Coral Gables,FL,33134,American Radiator,1948
First United Methodist Church,142 E Jackson Street/Blrm,Orlando,FL,32801,Crane,1948
Chattahoochee High,613 Chattah./Gym,Chattahoochee,FL,32324,Kewanee,1948
Quincy Education Academy,500 W King St/Gym,Quincy,FL,32351,Kewanee,1948
Allapattah Elementary School,4700 Nw 12Th Ave/Htg Blr Rm,Miami,FL,33127,Us Radiator,1948
Florida State Hospital,Us Hwy 90/Blr Rm,Chattahoochee,FL,32324,Babcock & Wilcox,1949
A G Holley State Hospital,1199 Lantana/Blrm/Main Hosp/Engin,Lantana,FL,33462,Cleaver Brooks,1949
First Christian Church Of Winter Haven,29 - 7Th St Sw/Blr Rm,Winter Haven,FL,33881,Dewey Sheppard,1949
First Christian Church Of Winter Haven,29 - 7Th St Sw/Blr Rm,Winter Haven,FL,33881,Shepard Heater Co,1949
Park Plaza Hotel,415 N Monroe Street/Blrm,Tallahassee,FL,32301,Cyclotherm,1950
Park Plaza Hotel,415 N Monroe/Blrm,Tallahassee,FL,32301,Cyclotherm,1950
Trinity Lutheran Church,401 5Th St N/Blrm,St Petersburg,FL,33701,Kewanee,1950
Courthouse,419 Pierce/Mech Rm,Tampa,FL,33602,Cyclotherm,1950
Courthouse,419 Pierce/Mech Rm,Tampa,FL,33602,Cyclotherm,1950
The Palmbay Hotel,711 3Rd Ave South,St. Petersburg,FL,33701,Smith,1950
St. Michael'S School/Basement,300 Northwest 28Th Ave/St Michael/Dir,Miami,FL,33125,Mt. Hawley,1950
Mount Dora Middle School,1250 N Grant Ave/Blr Rm,Mt. Dora,FL,32745,Spencer,1950
Post Parkside City Apt Homes,431 E Central Blvd/Blrm,Orlando,FL,32801,Farrar & Trefts,1950
Howard Academy,306 Nw 7Th Ave/Howard Acad,Ocala,FL,34475,Spencer,1950
Howard Academy,306 Nw 7Th Ave/Howard Acad,Ocala,FL,34475,Spencer,1950
Suter Elementary,501 Pickens Ave/Blrm/Suter Ele,Pensacola,FL,32503,Kewanee,1950
Curtis Fundamental Elementary,1210 Holt Ave/Bldg 1 Rm 108F/Curtis Es,Clearwater,FL,34760,National,1950
Williston High/Blr Rm,427 Noble Ave,Williston,FL,32696,Kewanee,1950
The Florida Yacht Club,5210 Yacht Club/Blr Rm,Jacksonville,FL,32210,National,1950
Tiffany House Assisted Living/Blr Rm,2900 Riomar St/W Bldg/Engineering,Ft Lauderdale,FL,33304,Burnham,1950
Suthland Apartments,145 4Th Ave North,St. Petersburg,FL,33701,American Radiator,1950
Madison Middle School/Blr Rm,1600 Mosley Hall Road,Madison,FL,32340,Spencer,1950
Cedar Key High/Blr Rm,Sr 19,Cedar Key,FL,32625,Kewanee,1950
Wachovia Bank,2031 Hendricks/Blr Rm,Jacksonville,FL,32207,Us Radiator,1950
Westside Regional Medical Ctr,8201 West Broward/N Blrm,Plantation,FL,33324,Bryan,1951
North Miami Senior High/Atrium,800 Ne 137 St(#105 Insp 4/21/99),Miami,FL,33161,Titusville,1951
Fairlawn Elementary,444 Sw 60Th Ave/Blrm/Fairlawn Ele,Miami,FL,33144,National,1951
Kensington Park Elementary,711 Nw 30Th Ave/Boiler Rm,Miami,FL,33125,Us Radiator,1951
Seminole Elementary,6201 Central Ave/Blrm/Seminole Ele,Tampa,FL,33604,Weil Mclain,1951
Ponce De Leon Middle School,5801 Augusto St/Ponce De Leon Mid/B-1000,Coral Gables,FL,33146,Pacific,1951
Shadowlawn Elementary,149 Nw 49Th St/Shadowlawn/Cafe,Miami,FL,33127,American Standard,1951
Atlantic Elementary School,1205 Atlantic Ave/Rm 06-04/#0051,Fernandina Beach,FL,32034,Mt Hawley,1951
Atlantic Elementary School,1205 Atlantic Ave/Rm 06-04/#0051,Fernandina Beach,FL,32034,Mt Hawley,1951
Dorsey Skill Center,7100 Nw 17Th Ave/Htg/Dorsey Skill Ctr,Miami,FL,33147,Pacific,1951
Highlands County Courthouse/Engineering,430 S Commerce Ave/Basement,Sebring,FL,33870,Ajax Boiler,1951
Dupont Plaza Center - Blrm,300 Biscayne Blvd Way,Miami,FL,33131,Kewanee,1952
Bishop Kenny High School,1055 Kingman/Blr Rm,Jacksonville,FL,32207,National,1952
Bishop Kenny High School,1055 Kingman/Blr Rm,Jacksonville,FL,32207,National,1952
Kinloch Park Middle School,4340 Nw 3Rd St/Blrm/Kinloch Prk Mid,Miami,FL,33126,Pacific,1952
Forrest Hills Elementary School,10112 Ola Ave / Blrm,Tampa,FL,33612,Weil Mclain,1952
Adams Junior High,10201 N Blvd/Blr Rm,Tampa,FL,33612,Weil Mclain,1952
Chisholm Elementary,557 Ronnoc Lane/Bldg 15 Rm 6,New Smyrna Beach,FL,32168,Kewanee,1952
Sisters Of The Holy Name,3319 Bayshore Dr/Blr Rm,Tampa,FL,33629,Kewanee,1952
