A. P. Green Industries	Florida Smelting Company	Jacksonville	FL	1900-01-01	1982-12-31
Owens Corning	Old Crown Company Paper Building	Sanford	FL	1900-01-01	1982-12-31
Eagle-Picher Corporation	Busch Gardens	Tampa	FL	1900-01-01	1982-12-31
Burns & Roe Enterprises, Inc.	Union Carbide Company	Jacksonville	FL	1900-01-01	1982-12-31
A. P. Green Industries	Metal Coatings	Tampa	FL	1900-01-01	1982-12-31
Owens Corning/Fibreboard Corp.	Columbia National	Pace	FL	1900-01-01	1982-12-31
Owens Corning/Fibreboard Corp.	Pantry Pride	Titusville	FL	1900-01-01	1982-12-31
Armstrong World Industries	Stroock & Wittenberg Company, West O Street	Pensacola	FL	1900-01-01	1982-12-31
Armstrong World Industries	Disney'S Contemporary Resort Hotel	Orlando	FL	1900-01-01	1982-12-31
A. P. Green Industries	Consumers Cooperative	Lakeland	FL	1900-01-01	1982-12-31
W.R. Grace & Co.	Hotel Roosevelt	Jacksonville	FL	1900-01-01	1982-12-31
A. P. Green Industries	Container Company Of America	Fernandina Beach	FL	1900-01-01	1982-12-31
Armstrong World Industries	Pensacola News Journal	Pensacola	FL	1900-01-01	1982-12-31
North American Refractories Co. (NARCO)	Street Regis A/K/A Champion A/K/A International Paper Mill	Cantonment	FL	1900-01-01	1982-12-31
Owens Corning	Old Crown Company Plant	Sanford	FL	1900-01-01	1982-12-31
DII Industries, LLC (Dresser Industries)	Jacksonville Electric Authority	Jacksonville	FL	1900-01-01	1982-12-31
Owens Corning	Bradenton Country Club - Automotive Building - Medical Office Building	Orlando	FL	1900-01-01	1982-12-31
W.R. Grace & Co.	Home Federal Savings And Loan - Association Building	Hollywood	FL	1900-01-01	1982-12-31
Armstrong World Industries	University Of Florida, Williamson Hall	Gainesville	FL	1900-01-01	1982-12-31
United States Mineral Products	First National Bank	Orlando	FL	1900-01-01	1982-12-31
Combustion Engineering	Dwight W. Morrow	Jacksonville	FL	1900-01-01	1982-12-31
Babcock & Wilcox Company	Miami Steam Electric Station	Miami	FL	1900-01-01	1982-12-31
Armstrong World Industries	Bacardi Bottling Company, Laboratory Building	Jacksonville	FL	1900-01-01	1982-12-31
W.R. Grace & Co.	Satellite High School	Satellite Beach	FL	1900-01-01	1982-12-31
W.R. Grace & Co.	Eglin Air Force Base - Adtc Headquarters	Fort Walton Beach	FL	1900-01-01	1982-12-31
Owens Corning/Fibreboard Corp.	Grace Mines	Bartow	FL	1900-01-01	1982-12-31
Owens Corning/Fibreboard Corp.	Csx Transportation	Jacksonville	FL	1900-01-01	1982-12-31
Owens Corning	Ferry Service - Tmt Trailer	Jacksonville	FL	1900-01-01	1982-12-31
Owens Corning	Occidental Chemical Company	White Springs	FL	1900-01-01	1982-12-31
Armstrong World Industries	Itt Rayonier Paper Company	Fernandina Beach	FL	1900-01-01	1982-12-31
Owens Corning/Fibreboard Corp.	North Brothers	Jacksonville	FL	1900-01-01	1982-12-31
W.R. Grace & Co.	Herndon Airport - Passenger Terminal	Orlando	FL	1900-01-01	1982-12-31
Plibrico Co.	Florida Medical Center	Lauderdale Lakes	FL	1900-01-01	1982-12-31
